country,subj_id,gender,age,experimenter,location,character_cat,character_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,1,universal,feel proud,like when you feel really good about something you did,yes,yes,1
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,2,universal,feel scared,like when you feel afraid,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,3,universal,hear things,like when you hear a noise,yes,yes,1
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,4,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,5,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,6,universal,feel love,like when you really like somebody and care about them a lot,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,7,universal,remember things,like when you remember something that happened before,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,8,universal,feel pain,like when something hurts you,yes,yes,1
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,9,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,10,universal,choose what to do,like when you decide between different things,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,11,universal,sense temperatures,like when you can tell if something is warm or cool,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,12,universal,feel sad,like when you feel bad or unhappy,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,13,universal,figure out how to do things,like when you learn a new fact or understand something new,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,14,universal,think about things,like when you have a thought or an idea about something,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,15,universal,feel guilty,like when you feel bad because you did something mean,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,16,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,17,universal,get angry,like when you feel mad,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,18,universal,pray,like when you pray,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,19,universal,feel shy,like when you feel quiet or embarrassed,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,20,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,21,universal,feel tired,like when you feel sleepy,yes,yes,1
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,22,universal,get hungry,like when you feel like you need to eat something,no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,23,universal,feel happy,like when you feel good,yes,yes,1
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,24,universal add-on,have souls,[NONE],yes,yes,1
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,25,universal add-on,have minds,[NONE],no,no,0
Vanuatu,vt_children_001_dogs,male,9,LT,teouma bridge,universal,dogs,dogs,5,26,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,1,universal,feel tired,like when you feel sleepy,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,3,universal,get angry,like when you feel mad,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,4,universal,feel proud,like when you feel really good about something you did,no,no,0
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,5,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,6,universal,feel sad,like when you feel bad or unhappy,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,7,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,8,universal,feel shy,like when you feel quiet or embarrassed,no,no,0
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,9,universal,feel scared,like when you feel afraid,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,10,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,11,universal,remember things,like when you remember something that happened before,no,no,0
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,12,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,13,universal,sense when things are far away,like when you see that something is far away from you,no,no,0
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,14,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,15,universal,pray,like when you pray,no,no,0
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,16,universal,hear things,like when you hear a noise,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,17,universal,get hungry,like when you feel like you need to eat something,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,18,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,19,universal,feel guilty,like when you feel bad because you did something mean,no,no,0
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,20,universal,think about things,like when you have a thought or an idea about something,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,21,universal,feel pain,like when something hurts you,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,22,universal,feel happy,like when you feel good,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,23,universal,choose what to do,like when you decide between different things,yes,yes,1
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,24,universal add-on,have souls,[NONE],no,no,0
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,25,universal add-on,bleed if they touch something sharp,[NONE],no,no,0
Vanuatu,vt_children_002_pigs,female,13,LT,teouma bridge,NA,pigs,pigs,3,26,universal add-on,have minds,[NONE],yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,1,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,3,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,4,universal,get hungry,like when you feel like you need to eat something,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,5,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,6,universal,sense when things are far away,like when you see that something is far away from you,no,no,0
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,7,universal,feel happy,like when you feel good,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,8,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,9,universal,get angry,like when you feel mad,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,10,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,11,universal,feel pain,like when something hurts you,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,12,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,13,universal,feel sad,like when you feel bad or unhappy,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,14,universal,feel tired,like when you feel sleepy,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,15,universal,feel proud,like when you feel really good about something you did,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,16,universal,pray,like when you pray,no,no,0
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,17,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,18,universal,feel scared,like when you feel afraid,no,no,0
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,19,universal,feel guilty,like when you feel bad because you did something mean,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,20,universal,choose what to do,like when you decide between different things,no,no,0
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,21,universal,think about things,like when you have a thought or an idea about something,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,22,universal,hear things,like when you hear a noise,yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,23,universal,remember things,like when you remember something that happened before,no,no,0
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,24,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,25,universal add-on,have souls,[NONE],no,no,0
Vanuatu,vt_children_003_mice,female,9,LT,eratap school,universal,mice,mice,1,26,universal add-on,have minds,[NONE],yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,1,universal,feel proud,like when you feel really good about something you did,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,2,universal,feel scared,like when you feel afraid,no,no,0
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,3,universal,hear things,like when you hear a noise,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,4,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,5,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,6,universal,feel love,like when you really like somebody and care about them a lot,no,no,0
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,7,universal,remember things,like when you remember something that happened before,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,8,universal,feel pain,like when something hurts you,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,9,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,10,universal,choose what to do,like when you decide between different things,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,11,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,12,universal,feel sad,like when you feel bad or unhappy,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,13,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,14,universal,think about things,like when you have a thought or an idea about something,no,no,0
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,15,universal,feel guilty,like when you feel bad because you did something mean,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,16,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,17,universal,get angry,like when you feel mad,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,18,universal,pray,like when you pray,no,no,0
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,19,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,20,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,21,universal,feel tired,like when you feel sleepy,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,22,universal,get hungry,like when you feel like you need to eat something,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,23,universal,feel happy,like when you feel good,yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,24,universal add-on,have souls,[NONE],yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,25,universal add-on,have minds,[NONE],yes,yes,1
Vanuatu,vt_children_004_dogs,female,11,LT,childcare center,universal,dogs,dogs,5,26,universal add-on,bleed if they touch something sharp,[NONE],no,no,0
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,1,universal,feel happy,like when you feel good,no,no,0
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,2,universal,get hungry,like when you feel like you need to eat something,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,3,universal,feel tired,like when you feel sleepy,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,4,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,5,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,6,universal,pray,like when you pray,no,no,0
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,7,universal,get angry,like when you feel mad,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,8,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,9,universal,feel guilty,like when you feel bad because you did something mean,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,10,universal,think about things,like when you have a thought or an idea about something,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,11,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,12,universal,feel sad,like when you feel bad or unhappy,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,13,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,14,universal,choose what to do,like when you decide between different things,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,15,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,16,universal,feel pain,like when something hurts you,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,17,universal,remember things,like when you remember something that happened before,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,18,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,19,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,20,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,21,universal,hear things,like when you hear a noise,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,22,universal,feel scared,like when you feel afraid,no,no,0
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,23,universal,feel proud,like when you feel really good about something you did,yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,24,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,25,universal add-on,have minds,[NONE],yes,yes,1
Vanuatu,vt_children_005_beetles,female,8,LT,eratap school,universal,beetles,beetles,2,26,universal add-on,have souls,[NONE],yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,1,universal,feel tired,like when you feel sleepy,yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,3,universal,get angry,like when you feel mad,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,4,universal,feel proud,like when you feel really good about something you did,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,5,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,6,universal,feel sad,like when you feel bad or unhappy,yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,7,universal,figure out how to do things,like when you learn a new fact or understand something new,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,8,universal,feel shy,like when you feel quiet or embarrassed,no,no,0
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,9,universal,feel scared,like when you feel afraid,yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,10,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1
Vanuatu,vt_children_006_flowers,female,7,LT,eratap school,universal,flowers,flowers,3,11,universal,remember things,like when you remember something that happened before,yes,yes,1
