country,subj_id,gender,age,experimenter,location,character_cat,character_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,1,universal,figure out how to do things,like when you learn a new fact or understand something new,kind of,kind of,0.5,don't know but maybe
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,3,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1,NA
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,4,universal,get hungry,like when you feel like you need to eat something,yes,yes,1,eat all the time
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,5,universal,smell things,"like when you can tell if something smells sweet, or rotten",kind of,kind of,0.5,maybe something like that - I never know
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,6,universal,sense when things are far away,like when you see that something is far away from you,no,no,0,NA
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,7,universal,feel happy,like when you feel good,yes,yes,1,NA
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,8,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,kind of,kind of,0.5,just sometimes
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,9,universal,get angry,like when you feel mad,kind of,kind of,0.5,maybe it does
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,10,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0,NA
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,11,universal,feel pain,like when something hurts you,no,no,0,"because its wings are hard, feel little pain"
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,12,universal,sense temperatures,like when you can tell if something is warm or cool,kind of,kind of,0.5,don't know
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,13,universal,feel sad,like when you feel bad or unhappy,no,no,0,sad
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,14,universal,feel tired,like when you feel sleepy,kind of,kind of,0.5,NA
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,15,universal,feel proud,like when you feel really good about something you did,kind of,kind of,0.5,I don't know too
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,16,universal,pray,like when you pray,no,no,0,I never see beetle pray. Probably not
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,17,universal,feel shy,like when you feel quiet or embarrassed,kind of,kind of,0.5,NA
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,18,universal,feel scared,like when you feel afraid,kind of,kind of,0.5,"at first, think both"
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,19,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,20,universal,choose what to do,like when you decide between different things,yes,yes,1,probably yes
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,21,universal,think about things,like when you have a thought or an idea about something,yes,yes,1,probably yes
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,22,universal,hear things,like when you hear a noise,kind of,kind of,0.5,a bit
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,23,universal,remember things,like when you remember something that happened before,kind of,kind of,0.5,NA
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,24,universal add-on,bleed if they touch something sharp,[NONE],kind of,kind of,0.5,NA
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,25,universal add-on,have souls,[NONE],yes,yes,1,maybe because it's a living thing
Thailand,th_children_001_beetles,female,8,Mui,Varee International School,universal,beetles,beetles,1,26,universal add-on,have minds,[NONE],yes,yes,1,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,1,universal,feel happy,like when you feel good,no,no,0,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,2,universal,get hungry,like when you feel like you need to eat something,no,no,0,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,3,universal,feel tired,like when you feel sleepy,yes,yes,1,feel
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,4,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,kind of,kind of,0.5,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,5,universal,feel shy,like when you feel quiet or embarrassed,no,no,0,it does not
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,6,universal,pray,like when you pray,no,no,0,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,7,universal,get angry,like when you feel mad,no,no,0,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,8,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,9,universal,feel guilty,like when you feel bad because you did something mean,yes,yes,1,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,10,universal,think about things,like when you have a thought or an idea about something,yes,yes,1,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,11,universal,figure out how to do things,like when you learn a new fact or understand something new,no,no,0,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,12,universal,feel sad,like when you feel bad or unhappy,no,no,0,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,13,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,14,universal,choose what to do,like when you decide between different things,no,no,0,it does not
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,15,universal,smell things,"like when you can tell if something smells sweet, or rotten",no,no,0,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,16,universal,feel pain,like when something hurts you,no,no,0,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,17,universal,remember things,like when you remember something that happened before,yes,yes,1,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,18,universal,feel love,like when you really like somebody and care about them a lot,kind of,kind of,0.5,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,19,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,yes,yes,1,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,20,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1,NA
Thailand,th_children_002_cellphones,male,7,Mui,NA,universal,cellphones,cellphones,2,21,universal,hear things,like when you hear a noise,no,no,0,NA
